feature,family,short_feature,value,binWidth,method
original_glrlm_GrayLevelVariance,glrlm,GrayLevelVariance,86.8088369366176,5,resample_linear
original_glrlm_HighGrayLevelRunEmphasis,glrlm,HighGrayLevelRunEmphasis,1091.0312898308496,5,resample_linear
original_glrlm_LongRunEmphasis,glrlm,LongRunEmphasis,2.078569899919634,5,resample_linear
original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,LongRunHighGrayLevelEmphasis,2321.108817010398,5,resample_linear
original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,LongRunLowGrayLevelEmphasis,0.0033464342005267,5,resample_linear
original_glrlm_LowGrayLevelRunEmphasis,glrlm,LowGrayLevelRunEmphasis,0.0018495423521858,5,resample_linear
original_glrlm_RunEntropy,glrlm,RunEntropy,6.116093007006911,5,resample_linear
original_glrlm_RunLengthNonUniformity,glrlm,RunLengthNonUniformity,33331.069111388526,5,resample_linear
original_glrlm_RunLengthNonUniformityNormalized,glrlm,RunLengthNonUniformityNormalized,0.6886622978759781,5,resample_linear
original_glrlm_RunPercentage,glrlm,RunPercentage,0.7934888795848718,5,resample_linear
original_glrlm_RunVariance,glrlm,RunVariance,0.457221469083843,5,resample_linear
original_glrlm_ShortRunEmphasis,glrlm,ShortRunEmphasis,0.8525355932331024,5,resample_linear
original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,ShortRunHighGrayLevelEmphasis,922.2317634569536,5,resample_linear
original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,ShortRunLowGrayLevelEmphasis,0.0016423688010018,5,resample_linear
original_glszm_GrayLevelNonUniformity,glszm,GrayLevelNonUniformity,51.91239827668741,5,resample_linear
original_glszm_GrayLevelNonUniformityNormalized,glszm,GrayLevelNonUniformityNormalized,0.02485035819851,5,resample_linear
original_glszm_GrayLevelVariance,glszm,GrayLevelVariance,131.99918421987934,5,resample_linear
original_glszm_HighGrayLevelZoneEmphasis,glszm,HighGrayLevelZoneEmphasis,771.031115366204,5,resample_linear
original_glszm_LargeAreaEmphasis,glszm,LargeAreaEmphasis,40092.78506462422,5,resample_linear
original_glszm_LargeAreaHighGrayLevelEmphasis,glszm,LargeAreaHighGrayLevelEmphasis,45178768.29296314,5,resample_linear
original_glszm_LargeAreaLowGrayLevelEmphasis,glszm,LargeAreaLowGrayLevelEmphasis,40.7121330060321,5,resample_linear
original_glszm_LowGrayLevelZoneEmphasis,glszm,LowGrayLevelZoneEmphasis,0.0075675411397552,5,resample_linear
original_glszm_SizeZoneNonUniformity,glszm,SizeZoneNonUniformity,535.3944471038775,5,resample_linear
original_glszm_SizeZoneNonUniformityNormalized,glszm,SizeZoneNonUniformityNormalized,0.2562922197720811,5,resample_linear
original_glszm_SmallAreaEmphasis,glszm,SmallAreaEmphasis,0.5212101362468096,5,resample_linear
original_glszm_SmallAreaHighGrayLevelEmphasis,glszm,SmallAreaHighGrayLevelEmphasis,413.01286993947,5,resample_linear
original_glszm_SmallAreaLowGrayLevelEmphasis,glszm,SmallAreaLowGrayLevelEmphasis,0.0045652238167557,5,resample_linear
original_glszm_ZoneEntropy,glszm,ZoneEntropy,8.043359659957538,5,resample_linear
original_glszm_ZonePercentage,glszm,ZonePercentage,0.0344548903183242,5,resample_linear
original_glszm_ZoneVariance,glszm,ZoneVariance,39250.424054880925,5,resample_linear
original_ngtdm_Busyness,ngtdm,Busyness,0.866310741037767,5,resample_linear
original_ngtdm_Coarseness,ngtdm,Coarseness,0.0006386323757525,5,resample_linear
original_ngtdm_Complexity,ngtdm,Complexity,1220.9184573501147,5,resample_linear
original_ngtdm_Contrast,ngtdm,Contrast,0.0553131363573946,5,resample_linear
original_ngtdm_Strength,ngtdm,Strength,0.6635985658496487,5,resample_linear
original_glcm_Autocorrelation,glcm,Autocorrelation,661.7020680079517,5,voxel_spacing_aware
original_glcm_ClusterProminence,glcm,ClusterProminence,207549.3133690138,5,voxel_spacing_aware
original_glcm_ClusterShade,glcm,ClusterShade,66.89154459650669,5,voxel_spacing_aware
original_glcm_ClusterTendency,glcm,ClusterTendency,285.4883789966419,5,voxel_spacing_aware
original_glcm_Contrast,glcm,Contrast,20.312709243925713,5,voxel_spacing_aware
original_glcm_Correlation,glcm,Correlation,0.8672476686152673,5,voxel_spacing_aware
original_glcm_DifferenceAverage,glcm,DifferenceAverage,2.936813708250357,5,voxel_spacing_aware
original_glcm_DifferenceEntropy,glcm,DifferenceEntropy,2.4969205675311787,5,voxel_spacing_aware
original_glcm_DifferenceVariance,glcm,DifferenceVariance,7.281675342223882,5,voxel_spacing_aware
original_glcm_Id,glcm,Id,0.4576564324840858,5,voxel_spacing_aware
original_glcm_Idm,glcm,Idm,0.4013336562462467,5,voxel_spacing_aware
original_glcm_Idmn,glcm,Idmn,0.9911428827508592,5,voxel_spacing_aware
original_glcm_Idn,glcm,Idn,0.945269637775771,5,voxel_spacing_aware
original_glcm_Imc1,glcm,Imc1,-0.3755387587734193,5,voxel_spacing_aware
original_glcm_Imc2,glcm,Imc2,0.9738803109808912,5,voxel_spacing_aware
original_glcm_InverseVariance,glcm,InverseVariance,0.3755386240567489,5,voxel_spacing_aware
original_glcm_JointAverage,glcm,JointAverage,24.40097162237622,5,voxel_spacing_aware
original_glcm_JointEnergy,glcm,JointEnergy,0.0045359945897984,5,voxel_spacing_aware
original_glcm_JointEntropy,glcm,JointEntropy,8.3226183761719,5,voxel_spacing_aware
original_glcm_MCC,glcm,MCC,0.8759983810660273,5,voxel_spacing_aware
original_glcm_MaximumProbability,glcm,MaximumProbability,0.0113776596299279,5,voxel_spacing_aware
original_glcm_SumAverage,glcm,SumAverage,48.80194324475241,5,voxel_spacing_aware
original_glcm_SumEntropy,glcm,SumEntropy,6.072863065915848,5,voxel_spacing_aware
original_glcm_SumSquares,glcm,SumSquares,76.45027206014191,5,voxel_spacing_aware
original_gldm_DependenceEntropy,gldm,DependenceEntropy,8.37713126130196,5,voxel_spacing_aware
