feature,family,short_feature,value,spacing_label,spacing_z,spacing_y,spacing_x,method
original_glszm_HighGrayLevelZoneEmphasis,glszm,HighGrayLevelZoneEmphasis,37.229007633587784,mild_z2,2.0,1.0,1.0,resample_nearest
original_glszm_LargeAreaEmphasis,glszm,LargeAreaEmphasis,252009.2213740458,mild_z2,2.0,1.0,1.0,resample_nearest
original_glszm_LargeAreaHighGrayLevelEmphasis,glszm,LargeAreaHighGrayLevelEmphasis,8292911.083969465,mild_z2,2.0,1.0,1.0,resample_nearest
original_glszm_LargeAreaLowGrayLevelEmphasis,glszm,LargeAreaLowGrayLevelEmphasis,9600.929069280244,mild_z2,2.0,1.0,1.0,resample_nearest
original_glszm_LowGrayLevelZoneEmphasis,glszm,LowGrayLevelZoneEmphasis,0.0971847875423847,mild_z2,2.0,1.0,1.0,resample_nearest
original_glszm_SizeZoneNonUniformity,glszm,SizeZoneNonUniformity,21.748091603053435,mild_z2,2.0,1.0,1.0,resample_nearest
original_glszm_SizeZoneNonUniformityNormalized,glszm,SizeZoneNonUniformityNormalized,0.1660159664355224,mild_z2,2.0,1.0,1.0,resample_nearest
original_glszm_SmallAreaEmphasis,glszm,SmallAreaEmphasis,0.1030255025709245,mild_z2,2.0,1.0,1.0,resample_nearest
original_glszm_SmallAreaHighGrayLevelEmphasis,glszm,SmallAreaHighGrayLevelEmphasis,3.966933935046325,mild_z2,2.0,1.0,1.0,resample_nearest
original_glszm_SmallAreaLowGrayLevelEmphasis,glszm,SmallAreaLowGrayLevelEmphasis,0.0094957773630732,mild_z2,2.0,1.0,1.0,resample_nearest
original_glszm_ZoneEntropy,glszm,ZoneEntropy,5.801185001517869,mild_z2,2.0,1.0,1.0,resample_nearest
original_glszm_ZonePercentage,glszm,ZonePercentage,0.0054016163615371,mild_z2,2.0,1.0,1.0,resample_nearest
original_glszm_ZoneVariance,glszm,ZoneVariance,217736.18926635975,mild_z2,2.0,1.0,1.0,resample_nearest
original_ngtdm_Busyness,ngtdm,Busyness,30.91374644596969,mild_z2,2.0,1.0,1.0,resample_nearest
original_ngtdm_Coarseness,ngtdm,Coarseness,0.0006392811472997,mild_z2,2.0,1.0,1.0,resample_nearest
original_ngtdm_Complexity,ngtdm,Complexity,16.648098812793826,mild_z2,2.0,1.0,1.0,resample_nearest
original_ngtdm_Contrast,ngtdm,Contrast,0.0304339699038169,mild_z2,2.0,1.0,1.0,resample_nearest
