spacing_label,method,family,n_features,n_changed_vs_native,median_abs_diff_vs_native,median_rel_diff_vs_native,spearman_corr_with_native,spearman_corr_with_resample_linear,pearson_corr_with_resample_linear
moderate_z3,resample_linear,glrlm,16,16,0.6768504152748325,0.3036149606344756,0.9970588235294118,1.0,0.9999999999999998
moderate_z3,resample_linear,glszm,16,16,3.011461487544708,0.3117031343572436,0.9941176470588234,1.0,1.0
moderate_z3,resample_linear,ngtdm,5,5,0.0264914916522707,0.09623735876336237,0.8999999999999998,0.9999999999999999,0.9999999999999999
moderate_z3,resample_nearest,glcm,24,24,0.1379893053692719,0.15301277054532023,0.9504347826086955,0.9843478260869565,0.9981973755162933
moderate_z3,resample_nearest,gldm,14,11,0.23201751091261735,0.5197148097940931,0.9956043956043955,0.9912087912087912,0.984366634308354
moderate_z3,resample_nearest,glrlm,16,16,0.22313392510725016,0.30732284798206216,0.9794117647058824,0.9823529411764707,0.9901787265481423
moderate_z3,resample_nearest,glszm,16,8,0.0036010775743580995,0.3333333333333333,0.9735294117647059,0.9676470588235294,0.9998687437494341
moderate_z3,resample_nearest,ngtdm,5,5,0.0236367152610906,0.3584090051265542,0.8999999999999998,0.7999999999999999,0.8114581129344891
moderate_z3,voxel_spacing_aware,glcm,24,24,0.049996782880268376,0.05182021420073,0.9904347826086956,0.9817391304347826,0.9986569861432046
moderate_z3,voxel_spacing_aware,gldm,14,11,0.23201751091261735,0.5197148097940931,0.9956043956043955,0.9912087912087912,0.984366634308354
moderate_z3,voxel_spacing_aware,glrlm,16,16,0.22313392510725016,0.30732284798206216,0.9794117647058824,0.9823529411764707,0.9901787265481423
moderate_z3,voxel_spacing_aware,glszm,16,8,0.0036010775743580995,0.3333333333333333,0.9735294117647059,0.9676470588235294,0.9998687437494341
moderate_z3,voxel_spacing_aware,ngtdm,5,5,0.012433911891773702,0.25458708068578767,0.9999999999999999,0.8999999999999998,0.9996862177801445
strong_z5,native_original,glcm,24,0,0.0,0.0,0.9999999999999999,0.9469565217391304,0.9994735419341839
strong_z5,native_original,gldm,14,0,0.0,0.0,1.0,0.9956043956043955,0.995050820372525
strong_z5,native_original,glrlm,16,0,0.0,0.0,1.0,0.988235294117647,0.9803407328918537
strong_z5,native_original,glszm,16,0,0.0,0.0,1.0,0.9941176470588234,0.9998742686435182
strong_z5,native_original,ngtdm,5,0,0.0,0.0,0.9999999999999999,0.7999999999999999,0.9542790166998999
strong_z5,resample_bspline,glcm,24,24,0.2371541702390061,0.19166142601942623,0.9478260869565217,0.9991304347826085,0.9997679029612596
strong_z5,resample_bspline,gldm,14,14,1.0311014673604868,0.436835089485907,0.9956043956043955,1.0,0.9998302865007641
strong_z5,resample_bspline,glrlm,16,16,0.9998620618516538,0.32021928292035773,0.9941176470588234,0.9970588235294118,0.9951819014289027
strong_z5,resample_bspline,glszm,16,16,2.7061242261990097,0.2864183543167185,0.9941176470588234,1.0,0.9999999986410361
strong_z5,resample_bspline,ngtdm,5,5,0.0330087331647204,0.1498105926917352,0.7999999999999999,0.9999999999999999,0.9787616720167474
strong_z5,resample_linear,glcm,24,24,0.1721176308509414,0.21244886307177985,0.9469565217391304,0.9999999999999999,1.0
strong_z5,resample_linear,gldm,14,14,0.49433295126682975,0.470949776159491,0.9956043956043955,1.0,1.0
strong_z5,resample_linear,glrlm,16,16,0.9507925863655498,0.3885169662679735,0.988235294117647,1.0,0.9999999999999999
strong_z5,resample_linear,glszm,16,16,0.759626230375698,0.22542082083541906,0.9941176470588234,1.0,0.9999999999999999
