comparison,feature,family,short_feature,z2,z2.5,abs_diff,rel_diff,changed,z3,z3.5,z5,z5.5
z2_vs_z2.5,original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,ShortRunHighGrayLevelEmphasis,15.28764108457636,15.28764108457636,0.0,0.0,False,,,,
z2_vs_z2.5,original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,ShortRunLowGrayLevelEmphasis,0.0260646153536868,0.0260646153536868,0.0,0.0,False,,,,
z2_vs_z2.5,original_glszm_GrayLevelNonUniformity,glszm,GrayLevelNonUniformity,16.81679389312977,16.81679389312977,0.0,0.0,False,,,,
z2_vs_z2.5,original_glszm_GrayLevelNonUniformityNormalized,glszm,GrayLevelNonUniformityNormalized,0.1283724724666394,0.1283724724666394,0.0,0.0,False,,,,
z2_vs_z2.5,original_glszm_GrayLevelVariance,glszm,GrayLevelVariance,5.749198764640755,5.749198764640755,0.0,0.0,False,,,,
z2_vs_z2.5,original_glszm_HighGrayLevelZoneEmphasis,glszm,HighGrayLevelZoneEmphasis,37.229007633587784,37.229007633587784,0.0,0.0,False,,,,
z2_vs_z2.5,original_glszm_LargeAreaEmphasis,glszm,LargeAreaEmphasis,252009.2213740458,252009.2213740458,0.0,0.0,False,,,,
z2_vs_z2.5,original_glszm_LargeAreaHighGrayLevelEmphasis,glszm,LargeAreaHighGrayLevelEmphasis,8292911.083969465,8292911.083969465,0.0,0.0,False,,,,
z2_vs_z2.5,original_glszm_LargeAreaLowGrayLevelEmphasis,glszm,LargeAreaLowGrayLevelEmphasis,9600.929069280244,9600.929069280244,0.0,0.0,False,,,,
z2_vs_z2.5,original_glszm_LowGrayLevelZoneEmphasis,glszm,LowGrayLevelZoneEmphasis,0.0971847875423847,0.0971847875423847,0.0,0.0,False,,,,
z2_vs_z2.5,original_glszm_SizeZoneNonUniformity,glszm,SizeZoneNonUniformity,21.748091603053435,21.748091603053435,0.0,0.0,False,,,,
z2_vs_z2.5,original_glszm_SizeZoneNonUniformityNormalized,glszm,SizeZoneNonUniformityNormalized,0.1660159664355224,0.1660159664355224,0.0,0.0,False,,,,
z2_vs_z2.5,original_glszm_SmallAreaEmphasis,glszm,SmallAreaEmphasis,0.1030255025709245,0.1030255025709245,0.0,0.0,False,,,,
z2_vs_z2.5,original_glszm_SmallAreaHighGrayLevelEmphasis,glszm,SmallAreaHighGrayLevelEmphasis,3.966933935046325,3.966933935046325,0.0,0.0,False,,,,
z2_vs_z2.5,original_glszm_SmallAreaLowGrayLevelEmphasis,glszm,SmallAreaLowGrayLevelEmphasis,0.0094957773630732,0.0094957773630732,0.0,0.0,False,,,,
z2_vs_z2.5,original_glszm_ZoneEntropy,glszm,ZoneEntropy,5.801185001517869,5.801185001517869,0.0,0.0,False,,,,
z2_vs_z2.5,original_glszm_ZonePercentage,glszm,ZonePercentage,0.0054016163615371,0.0054016163615371,0.0,0.0,False,,,,
z2_vs_z2.5,original_glszm_ZoneVariance,glszm,ZoneVariance,217736.18926635975,217736.18926635975,0.0,0.0,False,,,,
z2_vs_z2.5,original_ngtdm_Busyness,ngtdm,Busyness,21.312902831504523,19.812370512463872,1.5005323190406514,0.07040487778241918,True,,,,
z2_vs_z2.5,original_ngtdm_Coarseness,ngtdm,Coarseness,0.0009272587339018,0.0009974866603106,7.02279264087999e-05,0.07040487778245791,True,,,,
z2_vs_z2.5,original_ngtdm_Complexity,ngtdm,Complexity,23.02240914763824,21.432678925971352,1.589730221666887,0.0690514277403488,True,,,,
z2_vs_z2.5,original_ngtdm_Contrast,ngtdm,Contrast,0.0420888037375761,0.0392061688007997,0.0028826349367764015,0.06848935300584082,True,,,,
z2_vs_z2.5,original_ngtdm_Strength,ngtdm,Strength,0.0319046850396677,0.0342504781267065,0.0023457930870387986,0.06848935300583987,True,,,,
z2.5_vs_z3,original_glcm_Autocorrelation,glcm,Autocorrelation,,34.710183051513674,0.033803210297897124,0.0009729226244557756,True,34.74398626181157,,,
z2.5_vs_z3,original_glcm_ClusterProminence,glcm,ClusterProminence,,324.8185291138589,3.7803075692156654,0.011504324261688358,True,328.5988366830746,,,
z2.5_vs_z3,original_glcm_ClusterShade,glcm,ClusterShade,,0.4596845689117463,0.005390303500826921,0.01172609190164439,True,0.4542942654109194,,,
z2.5_vs_z3,original_glcm_ClusterTendency,glcm,ClusterTendency,,11.250774406864808,0.06712573259854615,0.005930935223972471,True,11.317900139463354,,,
z2.5_vs_z3,original_glcm_Contrast,glcm,Contrast,,1.2364562177205043,0.0685288207955943,0.05542357247548328,True,1.16792739692491,,,
z2.5_vs_z3,original_glcm_Correlation,glcm,Correlation,,0.8020226005976422,0.0109497903457072,0.013468834203583942,True,0.8129723909433494,,,
z2.5_vs_z3,original_glcm_DifferenceAverage,glcm,DifferenceAverage,,0.720345344450767,0.032691221665020254,0.045382706943078714,True,0.6876541227857468,,,
z2.5_vs_z3,original_glcm_DifferenceEntropy,glcm,DifferenceEntropy,,1.2933829219554032,0.03367009936842136,0.026032583851901464,True,1.2597128225869818,,,
z2.5_vs_z3,original_glcm_DifferenceVariance,glcm,DifferenceVariance,,0.5363456348212488,0.024372211534760213,0.04544124152867002,True,0.5119734232864885,,,
z2.5_vs_z3,original_glcm_Id,glcm,Id,,0.7222178173252459,0.010616205390854616,0.014486507260549675,True,0.7328340227161005,,,
z2.5_vs_z3,original_glcm_Idm,glcm,Idm,,0.6914384151015903,0.012761850919452589,0.01812247386891961,True,0.7042002660210429,,,
z2.5_vs_z3,original_glcm_Idmn,glcm,Idmn,,0.988097840790135,0.0006550000970790837,0.0006624507864790032,True,0.988752840887214,,,
z2.5_vs_z3,original_glcm_Idn,glcm,Idn,,0.9383732493440112,0.0027038382616363377,0.0028731315396442465,True,0.9410770876056476,,,
z2.5_vs_z3,original_glcm_Imc1,glcm,Imc1,,-0.4123650430489121,0.015751706478932592,0.03679301614875991,True,-0.4281167495278447,,,
z2.5_vs_z3,original_glcm_Imc2,glcm,Imc2,,0.911664312658374,0.005134062004601203,0.005599990299381299,True,0.9167983746629752,,,
z2.5_vs_z3,original_glcm_InverseVariance,glcm,InverseVariance,,0.3030126739898705,0.0036333067008503805,0.01199060967651749,True,0.2993793672890201,,,
z2.5_vs_z3,original_glcm_JointAverage,glcm,JointAverage,,5.675084166538405,9.775933287770044e-06,1.7226058681933185e-06,True,5.6750743906051175,,,
z2.5_vs_z3,original_glcm_JointEnergy,glcm,JointEnergy,,0.0633039008835015,0.002197663431190197,0.03355131215846812,True,0.0655015643146917,,,
z2.5_vs_z3,original_glcm_JointEntropy,glcm,JointEntropy,,4.527354222791706,0.04507207805472291,0.009955500682456006,True,4.482282144736983,,,
z2.5_vs_z3,original_glcm_MCC,glcm,MCC,,0.8052469522468904,0.010912144113309985,0.013370118843218851,True,0.8161590963602003,,,
z2.5_vs_z3,original_glcm_MaximumProbability,glcm,MaximumProbability,,0.1210878251734689,0.003683582709147301,0.029522650835300198,True,0.1247714078826162,,,
z2.5_vs_z3,original_glcm_SumAverage,glcm,SumAverage,,11.350168333076809,1.9551866571987375e-05,1.7226058678803089e-06,True,11.350148781210237,,,
z2.5_vs_z3,original_glcm_SumEntropy,glcm,SumEntropy,,3.594882970324291,0.0023514589806312713,0.000653685220366812,True,3.597234429304922,,,
z2.5_vs_z3,original_glcm_SumSquares,glcm,SumSquares,,3.1218076561463275,0.00035077204926192707,0.000112361839004179,True,3.1214568840970656,,,
z2.5_vs_z3,original_gldm_DependenceEntropy,gldm,DependenceEntropy,,6.801460758056764,0.0020577705528888046,0.0003025483239686775,True,6.799402987503875,,,
z2.5_vs_z3,original_gldm_DependenceNonUniformity,gldm,DependenceNonUniformity,,2075.8487547418767,946.5211391500361,0.3131718394439135,True,3022.369893891913,,,
